state,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,income,education
Alabama,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.0967741935483871,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.0,0.0,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.0,0.0967741935483871,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66659.0,29.9
Arizona,0.015025041736227046,0.0,0.04006677796327212,0.01335559265442404,0.07512520868113523,0.0,0.02671118530884808,0.00333889816360601,0.03672787979966611,0.005008347245409015,0.00333889816360601,0.001669449081803005,0.021702838063439065,0.05509181969949917,0.035058430717863104,0.00333889816360601,0.02003338898163606,0.001669449081803005,0.00333889816360601,0.015025041736227046,0.02337228714524207,0.01669449081803005,0.00667779632721202,0.03171953255425709,0.018363939899833055,0.005008347245409015,0.07846410684474124,0.001669449081803005,0.001669449081803005,0.0,0.02003338898163606,0.03005008347245409,0.01001669449081803,0.00667779632721202,0.00667779632721202,0.001669449081803005,0.0,0.011686143572621035,0.00667779632721202,0.00667779632721202,0.00333889816360601,0.03672787979966611,0.001669449081803005,0.0,0.01001669449081803,0.005008347245409015,0.001669449081803005,0.015025041736227046,0.028380634390651086,0.00333889816360601,0.0,0.001669449081803005,0.0,0.00667779632721202,0.02003338898163606,0.0,0.00333889816360601,0.01001669449081803,0.008347245409015025,0.0,0.008347245409015025,0.0,0.001669449081803005,0.0,0.00667779632721202,0.001669449081803005,0.14524207011686144,0.001669449081803005,0.0,0.011686143572621035,0.001669449081803005,0.001669449081803005,0.00333889816360601,0.0,0.001669449081803005,0.0,81486.0,34.7
Arkansas,0.01680672268907563,0.0,0.04201680672268908,0.008403361344537815,0.01680672268907563,0.06722689075630252,0.03361344537815126,0.0,0.025210084033613446,0.0,0.21008403361344538,0.04201680672268908,0.05042016806722689,0.008403361344537815,0.01680672268907563,0.008403361344537815,0.0,0.0,0.04201680672268908,0.01680672268907563,0.025210084033613446,0.025210084033613446,0.008403361344537815,0.0,0.008403361344537815,0.0,0.0,0.0,0.0,0.0,0.025210084033613446,0.025210084033613446,0.03361344537815126,0.0,0.04201680672268908,0.01680672268907563,0.0,0.01680672268907563,0.025210084033613446,0.008403361344537815,0.01680672268907563,0.008403361344537815,0.0,0.008403361344537815,0.008403361344537815,0.008403361344537815,0.0,0.008403361344537815,0.0,0.008403361344537815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008403361344537815,0.0,0.03361344537815126,0.0,0.0,0.0,0.008403361344537815,0.008403361344537815,0.008403361344537815,0.0,0.0,0.0,0.0,0.0,62106.0,27.1
California,0.005943284088979453,0.001358464934623875,0.06452708439463406,0.01901850908473425,0.16267617592120903,0.0037357785702156563,0.023433520122261846,0.001358464934623875,0.026659874341993548,0.0025471217524197657,0.016131771098658515,0.0015282730514518594,0.049923586347427405,0.0039055866870436407,0.015961962981830533,0.07080998471726949,0.029716420444897265,0.006113092205807438,0.0016980811682798438,0.014433689930378673,0.012226184411614875,0.010188487009679063,0.012056376294786892,0.01273560876209883,0.0163015792154865,0.042961453557480045,0.015282730514518594,0.0005094243504839531,0.0489047376464595,0.00271692986924775,0.013414841229410767,0.013754457463066735,0.011037527593818985,0.011716760061130923,0.00967906265919511,0.010867719476991,0.004415011037527594,0.006792324673119375,0.01511292239769061,0.007131940906775344,0.009339446425539142,0.006113092205807438,0.0033961623365596876,0.00033961623365596876,0.00033961623365596876,0.006792324673119375,0.0015282730514518594,0.0025471217524197657,0.006622516556291391,0.0033961623365596876,0.0042452029206996094,0.019867549668874173,0.0,0.003226354219731703,0.0016980811682798438,0.027678723042961453,0.003056546102903719,0.0005094243504839531,0.007301749023603328,0.00033961623365596876,0.015792154865002548,0.0,0.020716590253014096,0.00033961623365596876,0.005094243504839531,0.0020376974019358125,0.006282900322635422,0.0023773136355917813,0.0023773136355917813,0.005264051621667516,0.007641365257259297,0.0,0.011377143827474954,0.0,0.013075224995754798,0.0,100149.0,38.1
Colorado,0.00819672131147541,0.0,0.028688524590163935,0.01639344262295082,0.00819672131147541,0.0,0.004098360655737705,0.0,0.07377049180327869,0.00819672131147541,0.00819672131147541,0.004098360655737705,0.036885245901639344,0.19672131147540983,0.02459016393442623,0.00819672131147541,0.01639344262295082,0.00819672131147541,0.0,0.004098360655737705,0.004098360655737705,0.045081967213114756,0.040983606557377046,0.012295081967213115,0.06967213114754098,0.0,0.004098360655737705,0.0,0.0,0.0,0.020491803278688523,0.01639344262295082,0.02459016393442623,0.0,0.00819672131147541,0.00819672131147541,0.012295081967213115,0.03278688524590164,0.020491803278688523,0.004098360655737705,0.00819672131147541,0.0,0.0,0.0,0.0,0.004098360655737705,0.0,0.1598360655737705,0.004098360655737705,0.004098360655737705,0.0,0.004098360655737705,0.0,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012295081967213115,0.0,0.0,0.004098360655737705,0.012295081967213115,0.0,0.004098360655737705,0.0,0.0,0.0,0.0,97113.0,47.8
Connecticut,0.007222586999343401,0.000984898227183191,0.48391332895600786,0.1792514773473408,0.0006565988181221273,0.004596191726854892,0.02133946158896914,0.001969796454366382,0.0016414970453053185,0.0013131976362442547,0.0016414970453053185,0.0,0.007879185817465528,0.003939592908732764,0.01247537754432042,0.0036112934996717005,0.0,0.11063690085357847,0.000984898227183191,0.006565988181221274,0.005252790544977019,0.0016414970453053185,0.00032829940906106366,0.003282994090610637,0.0016414970453053185,0.00032829940906106366,0.00032829940906106366,0.000984898227183191,0.0013131976362442547,0.00032829940906106366,0.000984898227183191,0.0026263952724885093,0.001969796454366382,0.0016414970453053185,0.003282994090610637,0.0006565988181221273,0.020026263952724884,0.0,0.002954694681549573,0.001969796454366382,0.0036112934996717005,0.002954694681549573,0.00032829940906106366,0.0,0.0,0.004267892317793828,0.0006565988181221273,0.00032829940906106366,0.0026263952724885093,0.010505581089954037,0.03479973736047275,0.0,0.0,0.0013131976362442547,0.0,0.0,0.00032829940906106366,0.0,0.0006565988181221273,0.00032829940906106366,0.0,0.001969796454366382,0.0,0.000984898227183191,0.00032829940906106366,0.020026263952724884,0.0006565988181221273,0.0,0.007879185817465528,0.0,0.002954694681549573,0.0,0.0,0.0,0.0,0.00032829940906106366,96049.0,42.6
District of Columbia,0.01639344262295082,0.0,0.01639344262295082,0.06557377049180328,0.03278688524590164,0.0,0.11475409836065574,0.0,0.01639344262295082,0.0,0.04918032786885246,0.0,0.03278688524590164,0.0,0.04918032786885246,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.0,0.01639344262295082,0.03278688524590164,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.03278688524590164,0.03278688524590164,0.04918032786885246,0.01639344262295082,0.0,0.03278688524590164,0.01639344262295082,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.01639344262295082,0.0,0.01639344262295082,0.01639344262295082,0.0,0.0,0.0,0.01639344262295082,0.0,0.03278688524590164,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,109707.0,65.5
Florida,0.006740196078431373,0.0024509803921568627,0.0196078431372549,0.020833333333333332,0.010416666666666666,0.00428921568627451,0.01715686274509804,0.001838235294117647,0.032475490196078434,0.5104166666666666,0.003676470588235294,0.0024509803921568627,0.00428921568627451,0.001838235294117647,0.04105392156862745,0.0055147058823529415,0.006127450980392157,0.006740196078431373,0.0,0.00980392156862745,0.007965686274509803,0.030637254901960783,0.00980392156862745,0.00980392156862745,0.006127450980392157,0.001838235294117647,0.04963235294117647,0.0006127450980392157,0.0006127450980392157,0.0006127450980392157,0.014093137254901961,0.011029411764705883,0.00980392156862745,0.00857843137254902,0.003676470588235294,0.011642156862745098,0.007352941176470588,0.009191176470588236,0.006127450980392157,0.011029411764705883,0.006127450980392157,0.007965686274509803,0.006127450980392157,0.0,0.0006127450980392157,0.0030637254901960784,0.0006127450980392157,0.0024509803921568627,0.006127450980392157,0.0030637254901960784,0.0,0.0,0.0,0.0030637254901960784,0.0012254901960784314,0.0,0.001838235294117647,0.0006127450980392157,0.006740196078431373,0.0,0.0,0.0,0.0006127450980392157,0.0006127450980392157,0.003676470588235294,0.004901960784313725,0.0006127450980392157,0.0030637254901960784,0.0024509803921568627,0.010416666666666666,0.001838235294117647,0.0,0.003676470588235294,0.0006127450980392157,0.0,0.0,77735.0,35.8
Georgia,0.003050640634533252,0.009762050030506406,0.011592434411226357,0.012202562538133009,0.010372178157413058,0.0036607687614399025,0.007321537522879805,0.0006101281269066504,0.03599755948749237,0.0018303843807199512,0.0036607687614399025,0.4069554606467358,0.0018303843807199512,0.006711409395973154,0.013422818791946308,0.007931665649786455,0.003050640634533252,0.004270896888346553,0.3087248322147651,0.004270896888346553,0.007321537522879805,0.003050640634533252,0.008541793776693106,0.006101281269066504,0.007321537522879805,0.0018303843807199512,0.0,0.0006101281269066504,0.0012202562538133007,0.0012202562538133007,0.009762050030506406,0.004270896888346553,0.005491153142159854,0.007931665649786455,0.0036607687614399025,0.007931665649786455,0.0012202562538133007,0.006101281269066504,0.0006101281269066504,0.007321537522879805,0.004270896888346553,0.0012202562538133007,0.0012202562538133007,0.0,0.0,0.0024405125076266015,0.0006101281269066504,0.004270896888346553,0.0024405125076266015,0.0006101281269066504,0.0006101281269066504,0.0,0.0,0.0018303843807199512,0.0006101281269066504,0.0,0.011592434411226357,0.0,0.004881025015253203,0.0,0.0012202562538133007,0.0,0.0,0.0,0.003050640634533252,0.0006101281269066504,0.0012202562538133007,0.0024405125076266015,0.0006101281269066504,0.0012202562538133007,0.0006101281269066504,0.0012202562538133007,0.0018303843807199512,0.0006101281269066504,0.0,0.0,79991.0,36.3
Illinois,0.011990407673860911,0.0,0.0539568345323741,0.03836930455635491,0.045563549160671464,0.009592326139088728,0.03717026378896882,0.0035971223021582736,0.10671462829736211,0.0035971223021582736,0.050359712230215826,0.002398081534772182,0.025179856115107913,0.009592326139088728,0.02158273381294964,0.002398081534772182,0.016786570743405275,0.009592326139088728,0.001199040767386091,0.015587529976019185,0.015587529976019185,0.015587529976019185,0.023980815347721823,0.017985611510791366,0.02038369304556355,0.050359712230215826,0.001199040767386091,0.001199040767386091,0.0,0.001199040767386091,0.023980815347721823,0.03237410071942446,0.022781774580335732,0.013189448441247002,0.02158273381294964,0.015587529976019185,0.013189448441247002,0.02038369304556355,0.014388489208633094,0.004796163069544364,0.01079136690647482,0.002398081534772182,0.001199040767386091,0.0,0.0,0.008393285371702638,0.001199040767386091,0.009592326139088728,0.013189448441247002,0.009592326139088728,0.001199040767386091,0.03237410071942446,0.0,0.009592326139088728,0.0,0.001199040767386091,0.008393285371702638,0.001199040767386091,0.005995203836930456,0.027577937649880094,0.011990407673860911,0.0,0.001199040767386091,0.0,0.008393285371702638,0.011990407673860911,0.0,0.001199040767386091,0.0035971223021582736,0.004796163069544364,0.0,0.0,0.015587529976019185,0.0,0.002398081534772182,0.0,83211.0,39.2
Indiana,0.03968253968253968,0.0,0.0873015873015873,0.031746031746031744,0.0,0.0,0.07936507936507936,0.0,0.06349206349206349,0.0,0.015873015873015872,0.007936507936507936,0.007936507936507936,0.0,0.007936507936507936,0.031746031746031744,0.015873015873015872,0.047619047619047616,0.007936507936507936,0.0,0.007936507936507936,0.0,0.023809523809523808,0.03968253968253968,0.07936507936507936,0.0,0.0,0.0,0.007936507936507936,0.0,0.023809523809523808,0.031746031746031744,0.023809523809523808,0.0,0.023809523809523808,0.031746031746031744,0.0,0.007936507936507936,0.03968253968253968,0.007936507936507936,0.07142857142857142,0.023809523809523808,0.0,0.0,0.0,0.015873015873015872,0.0,0.031746031746031744,0.007936507936507936,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.007936507936507936,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,71959.0,30.7
Iowa,0.0,0.0,0.011363636363636364,0.0,0.022727272727272728,0.011363636363636364,0.3522727272727273,0.0,0.045454545454545456,0.0,0.0,0.0,0.09090909090909091,0.0,0.03409090909090909,0.011363636363636364,0.011363636363636364,0.0,0.0,0.0,0.011363636363636364,0.0,0.011363636363636364,0.011363636363636364,0.0,0.022727272727272728,0.011363636363636364,0.0,0.0,0.0,0.022727272727272728,0.011363636363636364,0.09090909090909091,0.011363636363636364,0.03409090909090909,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.056818181818181816,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75501.0,32.1
Kansas,0.0,0.0,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.027777777777777776,0.0,0.041666666666666664,0.013888888888888888,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.041666666666666664,0.041666666666666664,0.027777777777777776,0.0,0.041666666666666664,0.09722222222222222,0.041666666666666664,0.013888888888888888,0.06944444444444445,0.013888888888888888,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.013888888888888888,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,75514.0,36.0
Kentucky,0.0,0.0,0.0,0.06976744186046512,0.0,0.023255813953488372,0.13953488372093023,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.023255813953488372,0.09302325581395349,0.023255813953488372,0.06976744186046512,0.046511627906976744,0.0,0.11627906976744186,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64526.0,27.9
Louisiana,0.011627906976744186,0.0,0.011627906976744186,0.011627906976744186,0.03488372093023256,0.011627906976744186,0.06976744186046512,0.0,0.03488372093023256,0.011627906976744186,0.23255813953488372,0.0,0.0,0.011627906976744186,0.03488372093023256,0.0,0.023255813953488372,0.0,0.0,0.12790697674418605,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.011627906976744186,0.011627906976744186,0.05813953488372093,0.0,0.023255813953488372,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.011627906976744186,0.10465116279069768,0.0,0.0,0.0,0.0,0.0,0.0,60986.0,27.8
Maryland,0.01,0.0,0.025,0.035,0.015,0.01,0.015,0.0,0.04,0.0,0.005,0.005,0.02,0.025,0.015,0.005,0.01,0.005,0.0,0.08,0.005,0.015,0.03,0.02,0.225,0.0,0.005,0.0,0.0,0.0,0.03,0.015,0.03,0.01,0.02,0.03,0.0,0.065,0.015,0.015,0.03,0.0,0.005,0.0,0.0,0.015,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.015,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.005,0.02,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,102905.0,44.7
Massachusetts,0.017555705604321403,0.0006752194463200541,0.008777852802160702,0.004726536124240378,0.007427413909520594,0.0006752194463200541,0.01012829169480081,0.7386900742741391,0.010803511141120865,0.0006752194463200541,0.00675219446320054,0.00337609723160027,0.007427413909520594,0.004726536124240378,0.012153950033760972,0.004051316677920324,0.012829169480081027,0.0013504388926401081,0.002025658338960162,0.0027008777852802163,0.004726536124240378,0.00337609723160027,0.012153950033760972,0.014854827819041188,0.004726536124240378,0.0006752194463200541,0.017555705604321403,0.0,0.0,0.0,0.0027008777852802163,0.00675219446320054,0.01012829169480081,0.0013504388926401081,0.0027008777852802163,0.0,0.004726536124240378,0.0027008777852802163,0.004051316677920324,0.0054017555705604325,0.0006752194463200541,0.0006752194463200541,0.002025658338960162,0.0006752194463200541,0.0,0.0006752194463200541,0.0,0.002025658338960162,0.004726536124240378,0.002025658338960162,0.0,0.0,0.0,0.0,0.0006752194463200541,0.0,0.008102633355840648,0.0,0.0013504388926401081,0.0,0.0,0.0,0.0013504388926401081,0.0006752194463200541,0.0013504388926401081,0.0,0.0,0.0006752194463200541,0.012153950033760972,0.0,0.0027008777852802163,0.0,0.0006752194463200541,0.0,0.0006752194463200541,0.0,104828.0,48.3
Michigan,0.0021937842778793418,0.5007312614259598,0.00036563071297989033,0.002559414990859232,0.00018281535648994517,0.2603290676416819,0.01590493601462523,0.00018281535648994517,0.0014625228519195613,0.0,0.0005484460694698354,0.00036563071297989033,0.0009140767824497258,0.00036563071297989033,0.002742230347349177,0.00018281535648994517,0.0021937842778793418,0.00036563071297989033,0.0,0.0,0.00036563071297989033,0.0016453382084095063,0.0014625228519195613,0.0007312614259597807,0.0009140767824497258,0.0,0.00036563071297989033,0.07166361974405851,0.0007312614259597807,0.00018281535648994517,0.001279707495429616,0.0009140767824497258,0.0010968921389396709,0.0005484460694698354,0.0018281535648994515,0.0005484460694698354,0.00036563071297989033,0.0005484460694698354,0.0010968921389396709,0.0009140767824497258,0.0020109689213893968,0.0010968921389396709,0.0,0.0,0.0,0.0,0.00018281535648994517,0.0,0.0,0.00018281535648994517,0.0,0.0,0.03308957952468007,0.00036563071297989033,0.0,0.0,0.0018281535648994515,0.02413162705667276,0.00018281535648994517,0.0010968921389396709,0.0,0.0,0.0,0.0,0.00036563071297989033,0.00018281535648994517,0.0,0.0,0.00018281535648994517,0.00036563071297989033,0.0,0.01809872029250457,0.0,0.01992687385740402,0.0,0.017915904936014627,72389.0,33.3
