topic,topic_id,weighted_prevalence,topic_label,super_topic,label_confidence,unsure_flag,topic_display
topic_2,2,0.067081077234931,Translation & Word Meanings,Information/Trivia & Explanatory QA,Medium,1,Translation & Word Meanings [topic_2]
topic_0,0,0.0640359953665879,Sports Script Writing,Creative Writing & Roleplay,Medium,0,Sports Script Writing [topic_0]
topic_3,3,0.0513817193274079,Political History Questions,"Politics, Religion, and Society",High,0,Political History Questions [topic_3]
topic_1,1,0.0505871372164266,DDLC Fan Fiction,Creative Writing & Roleplay,High,0,DDLC Fan Fiction [topic_1]
topic_4,4,0.0447027365086212,AI Art Prompting,"Media, Art, and Entertainment",High,0,AI Art Prompting [topic_4]
topic_6,6,0.036076673515912,Math Problem Solving,Education & Homework,Medium,0,Math Problem Solving [topic_6]
topic_8,8,0.0312227889381597,Career Resume Help,Career & Professional Writing,High,0,Career Resume Help [topic_8]
topic_5,5,0.0285289671215264,Monster-Girl Roleplay,Creative Writing & Roleplay,Medium,1,Monster-Girl Roleplay [topic_5]
topic_7,7,0.0245319487731726,Fetish Comedy Stories,Creative Writing & Roleplay,High,0,Fetish Comedy Stories [topic_7]
topic_10,10,0.0245164470183345,Adult Fantasy Fiction,Creative Writing & Roleplay,Medium,1,Adult Fantasy Fiction [topic_10]
topic_9,9,0.0223864915449526,Scam-Baiting Emails,"Finance, Law, and Practical Life",High,0,Scam-Baiting Emails [topic_9]
topic_12,12,0.0212800183019003,Chemistry Homework Help,Education & Homework,High,0,Chemistry Homework Help [topic_12]
topic_11,11,0.0208195662558719,Fan Crossover Shipping,Creative Writing & Roleplay,High,0,Fan Crossover Shipping [topic_11]
topic_16,16,0.0198495407950605,Programming Help,Coding & Technical Help,High,0,Programming Help [topic_16]
topic_13,13,0.0190346486815296,Social Media Copy,Career & Professional Writing,Medium,0,Social Media Copy [topic_13]
topic_14,14,0.018856457276817,Personal Finance Questions,"Finance, Law, and Practical Life",High,0,Personal Finance Questions [topic_14]
topic_15,15,0.0182674150219295,Music Theory Help,Education & Homework,Medium,0,Music Theory Help [topic_15]
topic_20,20,0.0169436145812433,AI Concept Questions,Information/Trivia & Explanatory QA,High,0,AI Concept Questions [topic_20]
topic_19,19,0.0168833185292645,Biology & Health Questions,"Health, Biology, and Medicine",Medium,1,Biology & Health Questions [topic_19]
topic_18,18,0.015876711822647,Versus Battle Scenarios,"Media, Art, and Entertainment",High,0,Versus Battle Scenarios [topic_18]
topic_17,17,0.0158291651196989,Religion & Theology,"Politics, Religion, and Society",High,0,Religion & Theology [topic_17]
topic_22,22,0.0157300712435026,Web Development Help,Coding & Technical Help,High,0,Web Development Help [topic_22]
topic_24,24,0.014241610171438,Python Troubleshooting,Coding & Technical Help,High,0,Python Troubleshooting [topic_24]
topic_21,21,0.014132795877069,Relationship Message Help,Personal Advice & Communication,High,0,Relationship Message Help [topic_21]
topic_23,23,0.0136109611635485,Professional Email Writing,Career & Professional Writing,High,0,Professional Email Writing [topic_23]
topic_25,25,0.0122113734987385,AI Art Prompting,"Media, Art, and Entertainment",High,0,AI Art Prompting [topic_25]
topic_28,28,0.0118408496070179,DC Character Concepts,"Media, Art, and Entertainment",High,0,DC Character Concepts [topic_28]
topic_30,30,0.0117901205835145,Simple Greeting,Personal Advice & Communication,High,0,Simple Greeting [topic_30]
topic_26,26,0.0117512321822322,Product Listing Copy,Career & Professional Writing,High,0,Product Listing Copy [topic_26]
topic_31,31,0.0113202343458893,ChatGPT/OpenAI Help,Coding & Technical Help,High,0,ChatGPT/OpenAI Help [topic_31]
topic_32,32,0.0112825396630961,Casual Conversation Opening,Personal Advice & Communication,High,0,Casual Conversation Opening [topic_32]
topic_29,29,0.0109494583396071,Rivalry Fight Fiction,Creative Writing & Roleplay,High,0,Rivalry Fight Fiction [topic_29]
topic_33,33,0.010567099094168,Food & Recipe Help,"Finance, Law, and Practical Life",Medium,0,Food & Recipe Help [topic_33]
topic_34,34,0.0099508410946345,Literary Analysis Help,Education & Homework,High,0,Literary Analysis Help [topic_34]
topic_35,35,0.0091014080797992,Simple Greeting,Personal Advice & Communication,High,0,Simple Greeting [topic_35]
topic_36,36,0.0084993426709221,Mind & Consciousness,Information/Trivia & Explanatory QA,High,0,Mind & Consciousness [topic_36]
topic_37,37,0.0080994074330856,Prompt Jailbreak Attempts,Coding & Technical Help,High,0,Prompt Jailbreak Attempts [topic_37]
topic_38,38,0.0077330135879678,Essay Writing Help,Education & Homework,High,0,Essay Writing Help [topic_38]
topic_27,27,0.0074359650596894,Azur Lane Roleplay,Creative Writing & Roleplay,High,0,Azur Lane Roleplay [topic_27]
topic_39,39,0.0073094859594498,Song Lyric Writing,Creative Writing & Roleplay,High,0,Song Lyric Writing [topic_39]
topic_41,41,0.0072713769166661,Real Estate Writing,Career & Professional Writing,High,0,Real Estate Writing [topic_41]
topic_40,40,0.0071504102905748,Poetry Writing Help,Creative Writing & Roleplay,Medium,0,Poetry Writing Help [topic_40]
topic_44,44,0.0069187859457682,Cartoon Crossover Concepts,"Media, Art, and Entertainment",High,0,Cartoon Crossover Concepts [topic_44]
topic_46,46,0.0063213102499718,Brand Name Ideation,Career & Professional Writing,High,0,Brand Name Ideation [topic_46]
topic_42,42,0.0062676459661587,Customer Service Emails,Career & Professional Writing,High,0,Customer Service Emails [topic_42]
topic_59,59,0.0060674694836418,Character Fusion Descriptions,"Media, Art, and Entertainment",High,0,Character Fusion Descriptions [topic_59]
topic_47,47,0.0060252666753344,Computer Tech Support,Coding & Technical Help,Medium,0,Computer Tech Support [topic_47]
topic_48,48,0.005918330099464,Physics Problem Solving,Education & Homework,High,0,Physics Problem Solving [topic_48]
topic_45,45,0.005861448900084,Mixed/Unclear: animals/images,Information/Trivia & Explanatory QA,Low,1,Mixed/Unclear: animals/images [topic_45]
topic_51,51,0.0055929564903053,AI Art Prompting,"Media, Art, and Entertainment",High,0,AI Art Prompting [topic_51]
topic_50,50,0.0053021071206685,China History/Politics,"Politics, Religion, and Society",High,0,China History/Politics [topic_50]
topic_49,49,0.0052274829132422,Mixed/Unclear: year/date mix,Information/Trivia & Explanatory QA,Low,1,Mixed/Unclear: year/date mix [topic_49]
topic_53,53,0.005192838047072,Game Concept Ideation,"Media, Art, and Entertainment",High,0,Game Concept Ideation [topic_53]
topic_56,56,0.0049513743167837,Mental Health Questions,"Health, Biology, and Medicine",High,0,Mental Health Questions [topic_56]
topic_58,58,0.0047420642101954,Battery/Vehicle Questions,"Finance, Law, and Practical Life",Medium,1,Battery/Vehicle Questions [topic_58]
topic_55,55,0.0046157826430115,Image Prompt Expansion,"Media, Art, and Entertainment",High,0,Image Prompt Expansion [topic_55]
topic_64,64,0.0045555818724727,Image Generation Requests,"Media, Art, and Entertainment",High,0,Image Generation Requests [topic_64]
topic_60,60,0.0042740575780879,AI Art Prompting,"Media, Art, and Entertainment",High,0,AI Art Prompting [topic_60]
topic_66,66,0.0042259191542981,Cast List Generation,"Media, Art, and Entertainment",High,0,Cast List Generation [topic_66]
topic_67,67,0.0041678412369403,Jokes & Humor,"Media, Art, and Entertainment",High,0,Jokes & Humor [topic_67]
topic_54,54,0.0040549967155432,SQL Query Help,Coding & Technical Help,High,0,SQL Query Help [topic_54]
topic_62,62,0.0040420681398347,Education Research Writing,Education & Homework,High,0,Education Research Writing [topic_62]
topic_43,43,0.0039770661992141,WordGirl Fan Fiction,Creative Writing & Roleplay,High,0,WordGirl Fan Fiction [topic_43]
topic_61,61,0.0039183737368565,Short Reply Generation,Personal Advice & Communication,High,0,Short Reply Generation [topic_61]
topic_63,63,0.003865247066643,SCP Creative Writing,Creative Writing & Roleplay,High,0,SCP Creative Writing [topic_63]
topic_65,65,0.0037402934850717,Time & Space Questions,Information/Trivia & Explanatory QA,Medium,1,Time & Space Questions [topic_65]
topic_70,70,0.0037204332060989,Art History Questions,"Media, Art, and Entertainment",High,0,Art History Questions [topic_70]
topic_69,69,0.003692662117296,Travel Planning Help,"Finance, Law, and Practical Life",High,0,Travel Planning Help [topic_69]
topic_68,68,0.0035280481868101,Name & Person Lookup,Information/Trivia & Explanatory QA,Medium,0,Name & Person Lookup [topic_68]
topic_52,52,0.0033434280251832,Fantasy Crossover Fanfiction,Creative Writing & Roleplay,High,0,Fantasy Crossover Fanfiction [topic_52]
topic_72,72,0.0032331019526919,AI Art Prompting,"Media, Art, and Entertainment",High,0,AI Art Prompting [topic_72]
topic_57,57,0.0030974629174679,Game Dev Scripting,Coding & Technical Help,High,0,Game Dev Scripting [topic_57]
topic_74,74,0.0029005078672704,Tattoo SEO Writing,Career & Professional Writing,High,0,Tattoo SEO Writing [topic_74]
topic_71,71,0.002192633671844,Konosuba Fan Fiction,Creative Writing & Roleplay,High,0,Konosuba Fan Fiction [topic_71]
topic_73,73,0.0019679045890787,Warcraft Fan Fiction,Creative Writing & Roleplay,High,0,Warcraft Fan Fiction [topic_73]
topic_75,75,0.0018254734049853,Wizard101 Fan Fiction,Creative Writing & Roleplay,High,0,Wizard101 Fan Fiction [topic_75]
